Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # LitralsT+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity - Common,Overlap Size,MF Theory,Comp Theory,Compression of T+,Compression of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[12, -3, -2, 11, 1, 4, -5, -14], [10, -12, 14, 7, -4, -13, -1, 6]]",11,16,0.5925925925925926,2,8,None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
"[[7, -2, -1, 8, 14, 5], [3, -1], [8, -7, 4, 13, -1, -6, -11, 9, -14], [13, 10, 12, 9, 7, 5, -3, -6, 11], [-11, 9, 5, -2, 7, 6, -10, -3, -13, 12]]",4,16,0.8,5,7.2,"[[3, -1]]","[[-14], [14]]",0.5,0.75,0.75,0.5,1.0,0.25,T-,T+,0.9987128031071111,0.848127394351321,344,56,344,56
"[[-4, -6, -13, 12, 11, 3, -10, 9, 1, -7, 5], [-3, 13, 5, 14, 12, 1, 9, 2, 11, 6, -8], [-9, 3, -2, -12, 13, -7, 5, -1, 8, -6], [-6, -3, 5, 4, -2, -12, 7, -11, -13, 8, 1, -14, 9], [-14, -6, -3, 11, 1, 5, -12, 10, 4, -13, 7], [14, 6, 12, 7, 9, 5, -8, -4, 11, -3, 10], [11, 7, -9, 14, -6, -3, 10, 2, 13, 4, -5, -1, 12]]",5,11,0.6875,7,11.428571428571429,None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
"[[-3, 11, 8, -9, -10, 14, 1, -5, 12, -4, 2, -6, 13], [-10, 6, 8, 13, 1, 2, 4, 5, 11, 14, 7, 9], [4, 5, -10, 9], [1]]",4,16,0.8,4,7.5,"[[2, 4, 5, 9, -11, -10, -1], [1]]","[[10, -12, -11, -8, -4, -2], [7, 10, 13, 14, -9, -6, -5, -4, -3], [8, 14, -13, -12, -11, -5], [-11, -10, -7, -6, -4], [2, 13], [-14, -4, -11], [-8, 9, 7], [8, 10, 13, 14, -5], [8, -3, -10, -9], [3, -11, -10], [8, 11, 4, 5], [8, -7, -4, 9], [-8, 2, -12, 14], [-3, -11, 5, 7], [3, 4, -2, -5], [-8, -14, 11, -10], [-14, 3, -11], [-7, -13, 6], [-14, 5, 8, 11, 13, -2], [-1], [3, 5, 6, 7, 10, 14, -9, -4, -2], [-13, 5, -11, -9, -8, -6, -4], [2, 10, 14, -9, -7, -6, -5, -4], [12, 4]]",0.875,0.75,0.75,0.875,1.0,0.625,T-,T+,0.9969507554973915,0.7815014528381026,257,143,257,143
"[[-10, -2, -13, -4, -7, -6, -5, -1], [2, -11, -6, -5, 1, -13, 10, -12, -8, -4, -3], [3, 4, -5, 14, 2, 13, -11, 1]]",12,4,0.75,3,9,"[[8, 9, -14, -13, -11, -2, -10, -7, -6, -5, -4, -3, -1]]","[[-11], [11]]",0.8125,0.25,0.25,0.8125,1.0,0.0625,T-,T+,0.9964525104648789,0.9948754269686766,399,1,399,1
"[[1, 8, 5, -6, 10, -2, -7, -3, 13, 4], [-14, 3, -10, 12, 8, -5], [3, -7, 5, -10, -12], [-12, 6, -14, 10, 4, 9, -11, 3, -1]]",7,9,0.5625,4,7.5,"[[1, 2, 3, 6, 8, 12, 13, -14, -10, -9, -7, -5], [3, 5, -12, -10, -7]]","[[-13], [13]]",0.9375,0.5625,0.5625,0.9375,1.0,0.5,T-,T+,0.9950143058747873,0.986538027640987,396,4,396,4
"[[6, 4], [11, 4, 9, -12, 14, -8, -3], [12, 1, -4, -3, -2, 6, -7, -14, 8, -5, -9, 13, -10], [6, 3, 10, -9, -12, -8, 2], [2, 3, -8, -12, 11, -13, -4, 6], [9, 8, 4, 12, 14, -7, 13, -6, -2, 1, 3], [-6, 11, 13, 8, -7, -9, -5, -12, 1], [4, 14, 9, -2, -1, -6, -10], [5, -3]]",1,16,0.9411764705882353,9,7.333333333333333,"[[4, 9, 11, 14, -13, -12, -10, -2, -8, -1], [-3, 5], [4, 6]]","[[8, -11], [9, -14], [-8, 1, -12], [11, -1, 14], [1, -6, 4], [-13, -10, -1], [-7, -2, -9], [-12, 14], [-6, 10, -13], [-14, 6, 7], [3, 7, -9], [-6, -12, 13, -1], [10, 13], [-5], [2, -9], [-8, 9]]",0.8125,0.9375,0.9375,0.8125,1.0,0.75,T-,T+,0.9953043878488318,0.7730919829866659,306,94,306,94
"[[-3, 7, 11, -1, 5, 10, -2, 12, 4, -14, 9], [-12, 6, -2, -14, -4, -13, 11], [-4, -9, 12, 6, -5, -13, 7, -14, 1], [-4, -6], [6, -9, 4, 10, -12, -14, 2, -7, 13, 1, 5, -11, -8], [-8, 13, -14, 4, -6, 1], [-7, -8, -4], [10, 2, -1, -8, 12, -14, -3, 6, 7, 9, -4]]",3,16,0.8421052631578947,8,7.75,"[[-6, -4], [1, 13, -14, -8, -6], [3, 5, 6, 7, 11, -14, -13, -12, -1, -9, -2], [-8, -7, -4]]","[[3, 11, -9, -7, -4], [2, 4], [6, -2], [8, 5, -10, -1], [2, -5, -9], [9, -13, -12], [9, 2, 5], [13], [14], [1], [7], [10, 2], [-8, -13, -2]]",0.875,0.8125,0.8125,0.875,0.9230769230769231,0.8125,T-,T+,0.9933585233507353,0.8235359318845948,328,72,328,72
"[[-9, 4], [-12, 2, 13, 3, -10, 11], [13, 1, -5, 4, 6, -11, 7, 9, -3]]",6,16,0.7272727272727273,3,5.666666666666667,"[[4, -9]]","[[10], [-10]]",0.875,0.625,0.625,0.875,1.0,0.5,T-,T+,0.998606569257235,0.8987500535666574,363,37,362,37
"[[6, -10, 2, -4, 5, 3, -1, -9], [11, 2, -10, 7, 8, 6, 5, 12, 4], [10, -7, -4]]",4,12,0.75,3,6.666666666666667,"[[-7, 10, -4]]","[[8], [-8]]",0.75,0.75,0.75,0.75,1.0,0.5,T-,T+,0.9982029065052426,0.9667992948121583,389,11,389,11
